llparte,CodAcc2,aaaa,mes,dia,dia_mes,hora,horarecode,Ncod_canton,Ncod_distrito,NX_WGS84,NY_WGS84,lugar_hechos,Total_Involucrados,dano_ileso_sum,dano_leve_sum,dano_grave_sum,dano_muerto_sum
2014-92000226,Colisión con motocicleta,2014,Noviembre,Sábado,1,10,06:00-11:59,Heredia,Heredia,-84.11416,9.998589998,Heredia-Heredia-Heredia CRUCE AM PM,3,2,1,0,0
2014-92000227,Colisión con motocicleta,2014,Noviembre,Sábado,1,11,06:00-11:59,Heredia,Ulloa,-84.11300833,9.966038335,Heredia-Heredia-San Francisco RUTA 3  75 MTS SUR CRUCE VALENCIA,2,1,1,0,0
2014-92000246,Colisión con motocicleta,2014,Noviembre,Miércoles,12,11,06:00-11:59,Heredia,Ulloa,-84.110045,9.961999998,Heredia-Heredia-San Francisco RUTA 3 FRENTE A REPUESTOS GIGANTE,2,1,1,0,0
2014-92000262,Colisión con motocicleta,2014,Noviembre,Viernes,28,18,18:00-23:59,Heredia,San Francisco,-84.13434078,9.990930891,Heredia-Heredia-Ulloa COSTADO SUR FRESCH MARKET,2,1,1,0,0
2014-92000305,Colisión con motocicleta,2014,Diciembre,Jueves,25,11,06:00-11:59,Heredia,Heredia,-84.11927,9.996560004,CRUCE BANCO NACIONAL,2,1,1,0,0
2014-92000306,Colisión con motocicleta,2014,Diciembre,Viernes,26,8,06:00-11:59,Heredia,Ulloa,-84.11714,9.966593338,Heredia-Heredia-Ulloa RUTA 106 FRENTE A LA MUSMANI,2,1,1,0,0
2014-94500056,Colisión con motocicleta,2014,Marzo,Lunes,17,5,00:00-05:59,Heredia,Ulloa,-84.11581414,9.966011224,Heredia-Heredia-Ulloa Lagunilla 200 este de Jardines del Recuerdo,2,1,1,0,0
2014-94500193,Colisión con motocicleta,2014,Agosto,Jueves,28,13,12:00-17:59,Heredia,Ulloa,-84.16156568,9.980638578,Heredia-Belén-Asuncion ruta 1 sentido 2 -1 km 9,1,0,1,0,0
2014-94500236,Colisión con motocicleta,2014,Octubre,Viernes,3,10,06:00-11:59,Heredia,Ulloa,-84.15070064,9.974516586,Heredia-Belén-Asuncion ruta 1 sentido 2 -1  km 9 frente a plaza los arcos,2,1,1,0,0
2014-96000072,Colisión con motocicleta,2014,Febrero,Viernes,28,7,06:00-11:59,Heredia,Ulloa,-84.11090011,9.962631181,Heredia-Heredia-Ulloa Repuestos Gigante 50 Oeste,3,1,2,0,0
2014-96000081,Colisión con motocicleta,2014,Marzo,Martes,11,8,06:00-11:59,Heredia,San Francisco,-84.11139953,9.977262491,Heredia-Heredia-San Francisco Frente a Pequeño Mundo,3,1,2,0,0
2014-96000107,Colisión con motocicleta,2014,Marzo,Sábado,29,7,06:00-11:59,Heredia,San Francisco,-84.14080272,9.991402422,Heredia-Heredia-San Francisco Frente a Residencial Hacienda San Agustin,3,2,1,0,0
2014-96000125,Colisión con motocicleta,2014,Abril,Viernes,11,7,06:00-11:59,Heredia,Heredia,-84.11526541,9.997020948,Heredia-Heredia-Heredia Costado Norte Parque El Carmen,2,1,1,0,0
2014-96000186,Colisión con motocicleta,2014,Julio,Jueves,31,18,18:00-23:59,Heredia,Ulloa,-84.12802,9.968670002,Heredia-Heredia-Ulloa Frente a Campus Presbitero Benjamin Nuñez,2,1,1,0,0
2014-96000241,Colisión con motocicleta,2014,Setiembre,Martes,16,6,06:00-11:59,Heredia,Heredia,-84.11585,9.998759998,Heredia-Heredia-Heredia Esquina Nor-Este Parroquia,2,1,1,0,0
